# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 19
3.67279996094352001964001470692324925e-01 6.55487829227478807094019489457608084e-02 1.62472703731490115197649501917039030e-02
6.55487829227478807094019489457608084e-02 3.67279996094352001964001470692324925e-01 1.62472703731490115197649501917039030e-02
8.10017699346628198801856319049649641e-01 9.63151477903564621223742649596430637e-01 9.74513809910263369409915542596714895e-03
9.63151477903564621223742649596430637e-01 8.10017699346628198801856319049649641e-01 9.74513809910263369409915542596714895e-03
8.10017699346628198801856319049649641e-01 3.68485220964353787762573504035693634e-02 9.74513809910263369409915542596714895e-03
3.68485220964353787762573504035693634e-02 8.10017699346628198801856319049649641e-01 9.74513809910263369409915542596714895e-03
1.89982300653371801198143680950350359e-01 9.63151477903564621223742649596430637e-01 9.74513809910263369409915542596714895e-03
9.63151477903564621223742649596430637e-01 1.89982300653371801198143680950350359e-01 9.74513809910263369409915542596714895e-03
1.89982300653371801198143680950350359e-01 3.68485220964353787762573504035693634e-02 9.74513809910263369409915542596714895e-03
3.68485220964353787762573504035693634e-02 1.89982300653371801198143680950350359e-01 9.74513809910263369409915542596714895e-03
9.00835792359298421296181794702259620e-01 9.94223265341986875843730783949453780e-01 2.47235023368587109532210024646103294e-03
9.94223265341986875843730783949453780e-01 9.00835792359298421296181794702259620e-01 2.47235023368587109532210024646103294e-03
9.00835792359298421296181794702259620e-01 5.77673465801312415626921605054621982e-03 2.47235023368587109532210024646103294e-03
5.77673465801312415626921605054621982e-03 9.00835792359298421296181794702259620e-01 2.47235023368587109532210024646103294e-03
9.91642076407015787038182052977403804e-02 9.94223265341986875843730783949453780e-01 2.47235023368587109532210024646103294e-03
9.94223265341986875843730783949453780e-01 9.91642076407015787038182052977403804e-02 2.47235023368587109532210024646103294e-03
9.91642076407015787038182052977403804e-02 5.77673465801312415626921605054621982e-03 2.47235023368587109532210024646103294e-03
5.77673465801312415626921605054621982e-03 9.91642076407015787038182052977403804e-02 2.47235023368587109532210024646103294e-03
